Name,Hole,Date,
Dave Smith,13,6/5/25,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-D9yhaC/leaderboard?%3F=&round=1&view=scores
Liam Wolfram,8,5/29/25,https://udisc.com/events/lufbery-league-5-30-p-m-monthly-XPZFdE/leaderboard?round=1&view=scores
Nick Savakis,13,5/15/25,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-GRRW0C/leaderboard?round=1&view=scores
Brian Walendziak,13,5/8/25,https://udisc.com/events/5-30-p-m-handicap-CBjwlc/leaderboard?round=1
Thomas Mottram,5,9/5/24,https://udisc.com/events/lufbery-league-5-15-p-m-handicap-Sip8
Jason Cebula,16,8/22/24,https://udisc.com/events/lufbery-league-5-00-p-m-handicap-S9fc/leaderboard?round=1
Ryan Thorne,15,8/8/24,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-Ab82
Mehmet Topal,8,7/18/24,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-yqsF
William Elwell,Sticks  4,7/4/24,https://udisc.com/events/lufbery-league-27-holes-singles-2-rounds-iY2X/leaderboard?round=2
Duncan Farquharson,6,6/27/24,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-Tq2U/leaderboard?round=1
Joshua Bilodeau,Stones  8,5/9/24,https://udisc.com/events/lufbery-league-5-30-p-m-IXbv/leaderboard?round=1
Liam Wolfram,8,4/1/24,https://udisc.com/events/lufbery-league-5-p-m-1nnT/leaderboard?round=1
Bryan Smith,6,6/20/23,https://udisc.com/events/lufbery-league-5-p-m-HtA4/leaderboard
Mike Casey,Stones  13,5/16/23,https://udisc.com/events/lufbery-flex-singles-r9Jh/leaderboard
William Elwell,Stones  14,4/25/23,https://udisc.com/events/lufbery-flex-singles-FeFC/leaderboard
Tom Woodruff,16,4/18/23,https://udisc.com/events/lufbery-flex-singles-iImb/leaderboard
PJ Bergeron,6,4/18/23,https://udisc.com/events/lufbery-flex-singles-iImb/leaderboard
William Elwell,13,4/11/23,https://udisc.com/events/lufbery-flex-singles-7deX/leaderboard
William Elwell,Stones  8,4/4/23,https://udisc.com/events/lufbery-flex-singles-7QI5/leaderboard
Duncan Farquharson,8,8/12/21,https://udisc.com/events/lufbery-flex-singles-tag-round-wed-530-pm-LVlM/leaderboard?round=1
Zack Williams,13,3/25/21,https://udisc.com/events/lufbery-flex-singles-cobI/leaderboard?round=1
