Name,Score,Date,
Ian Davila,Net: 45 (-13),8/15/2023,https://udisc.com/events/lufbery-league-5-p-m-tags-in-play-Yst6/leaderboard
Joshua Bilodeau,Net: 51 (-5),8/22/2023,https://udisc.com/events/lufbery-league-5-p-m-VfQP/leaderboard
Tim Breault,Net: 45 (-11),8/29/2023,https://udisc.com/events/lufbery-league-5-p-m-bTDL/leaderboard
Kevin Nadrowski,Net: 44 (-14),9/5/2023,https://udisc.com/events/lufbery-league-5-p-m-LL8z/leaderboard
Stephen Irons,Net: 51 (-5),4/1/2024,https://udisc.com/events/lufbery-league-5-p-m-1nnT/leaderboard
Nick Savakis,Net: 50 (-6),4/11/2024,https://udisc.com/events/lufbery-league-5-p-m-ymvR/leaderboard
Scott Shepard,Net: 51 (-5),4/18/2024,https://udisc.com/events/lufbery-league-5-p-m-1pXv/leaderboard
Keith Sykes,Net: 49 (-9),4/25/2024,https://udisc.com/events/lufbery-league-5-30-p-m-vxl8/leaderboard
Bryan Smith,Net: 45 (-11),5/2/2024,https://udisc.com/events/lufbery-league-5-30-p-m-xfsS/leaderboard
William Elwell,Net: 45 (-11),5/9/2024,https://udisc.com/events/lufbery-league-5-30-p-m-IXbv/leaderboard
William Elwell,Net: 45 (-11),5/16/2024,https://udisc.com/events/lufbery-league-5-30-p-m-Qj2r/leaderboard
Jason Cebula,Net: 47 (-11),5/23/2024,https://udisc.com/events/lufbery-league-5-30-p-m-hZY5/leaderboard
Bryan Smith,Net: 48 (-8),5/30/2024,https://udisc.com/events/lufbery-league-5-30-p-m-wNDQ/leaderboard
Liam Wolfram,Net: 47 (-9),6/6/2024,https://udisc.com/events/lufbery-league-5-30-p-m-icvo/leaderboard
Tim Breault,Net: 49 (-7),6/13/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-uuVc/leaderboard
Mehmet Topal,Net: 50 (-6),6/20/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-eGqH/leaderboard
Duncan Farquharson,Net: 46 (-10),6/27/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-Tq2U/leaderboard
Dave Shaw,Net: 50 (-6),7/11/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-BJ3a
Ryan Dolan,Net: 45 (-11),7/18/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-yqsF
Thomas Mottram,Net: 47 (-9),7/25/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-OEd1
Jake Firmender,Net: 46 (-10),8/1/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-f5ec
Kevin Nadrowski,Net: 49 (-7),8/8/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-Ab82
Duncan Farquharson,Net: 49 (-7),8/15/2024,https://udisc.com/events/lufbery-league-5-30-p-m-handicap-QfFW
Ryan Thorne,Net: 46 (-10),8/22/2024,https://udisc.com/events/lufbery-league-5-15-p-m-handicap-S9fc
Kevin Nadrowski,Net: 50 (-6),8/29/2024,https://udisc.com/events/lufbery-league-5-15-p-m-handicap-WnDz
Nick Savakis,Net: 51 (-5),9/5/2024,https://udisc.com/events/lufbery-league-5-15-p-m-handicap-Sip8
"Tom Woodruff (tie)
Duncan Farquharson (tie)",Net: 48 (-8),12/31/2024,https://udisc.com/events/9-30-a-m-handicap-o8pY06/leaderboard?round=1
"Dave Smith (tie)
PJ Bergeron (tie)
Jon Mas (tie)",Net: 50 (-6),4/3/2025,https://udisc.com/events/lufbery-league-5-00-p-m-handicap-5STpwE/leaderboard?round=1
PJ Bergeron,Net: 50 (-6),4/10/2025,https://udisc.com/events/lufbery-league-5-00-p-m-handicap-8gVQnB/leaderboard??page=6
